Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
G17,The gift of the reptile.,"Mehinaku, Waura, Yaulapiti",-13,-54,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=bedecff01bf420d7717ce95a,https://www.ruthenia.ru/folklore/berezkin/g17.html,
G17,The gift of the reptile.,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=j3zogkgaonty8pmee037q0gv,https://www.ruthenia.ru/folklore/berezkin/g17.html,Münzel 1973 : 162-169
G24,Food from the sky.,"Five Nations Iroquois (Seneca, Mohawk, Onondaga, Oneida, Cayuga)",42.7,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=49621d1183820d5cb1ce2a07,https://www.ruthenia.ru/folklore/berezkin/g24.html,
h6c,The immortal raven.,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=1yWpX_H_LUurqqXCBaZJzA,https://www.ruthenia.ru/folklore/berezkin/h6c.html,(Bryansk); No. 92
H12,"The living go to the dead after someone&#039;s death, F81.",Blackfoot,51,-112.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d6c96683d20c3022602128de,https://www.ruthenia.ru/folklore/berezkin/h12.html,
H32A,Lost abundance: the wronged wife.,Tsimshian,54.5,-129,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=61e3c58a14c1285af651b005,https://www.ruthenia.ru/folklore/berezkin/h32a.html,
H55,"Sinners in the Other World, ATU 471, (ATU 470).","Buryats: Eastern (trans Baikal), I.e. Khori",51.435,110.454,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cdcdeaaab9a1af30000324e9,https://www.ruthenia.ru/folklore/berezkin/h55.html,
I,N/A,China,38.073,104.691,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9demlj5rbxhs0yw7u30encl9,N/A,
I3,Weapons of Thunder.,"Barasana, Taibano, Macuna",0.2,-70.4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=1378e85f9e9635f0d0a5ca29,https://www.ruthenia.ru/folklore/berezkin/i3.html,
I7,Cloud serpent.,Aztec; Aztec And Teotihuacan Iconography,19.5,-99,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6ed189124a77ad6889c50e5f,https://www.ruthenia.ru/folklore/berezkin/i7.html,Longacre 1965 : 114-118
I11,Cosmic turtle/toad.,"Five Nations Iroquois (Seneca, Mohawk, Onondaga, Oneida, Cayuga)",42.7,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=pyyemb0atqty33jr1mboxfo4,https://www.ruthenia.ru/folklore/berezkin/i11.html,"oneida : James Dean (1770s?) in Elm, Antone 2000:157-162 , Frederick Waugh (West 1912-1917) in Elm, Antone 2000:164-168"
I11,Cosmic turtle/toad.,"Five Nations Iroquois (Seneca, Mohawk, Onondaga, Oneida, Cayuga)",42.7,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6cb986726aa7c58a601344aa,https://www.ruthenia.ru/folklore/berezkin/i11.html,Hewitt 1903 : 221-254
I20,"Underground dwarves, F451.","Germans: North (Low- And Central German Dialects): Schleswig-Holstein, Mecklenburg, Pommern, Niedersachsen (Lower Saxony, Incl East Frisia And Oldenburg), Nordrhein-Westfalen, Hessen, Rheinland-Pfalz, Thüringen, Saxony-Anhalt, Sachsen, Brandenburg, Rügen",52.5,11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=b226cea2c1a159cdc5402499,https://www.ruthenia.ru/folklore/berezkin/i20.html,
i20c1,Dwarves – inhabitants of rocks and hills.,"Germans: North (Low- And Central German Dialects): Schleswig-Holstein, Mecklenburg, Pommern, Niedersachsen (Lower Saxony, Incl East Frisia And Oldenburg), Nordrhein-Westfalen, Hessen, Rheinland-Pfalz, Thüringen, Saxony-Anhalt, Sachsen, Brandenburg, Rügen",52.5,11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=OVUbLgLiOESk0G8IX3q5zQ,https://www.ruthenia.ru/folklore/berezkin/i20c1.html,
i23,"Slamming door, K736.",Bella Coola (Nuxalk),51.8,-127,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=x7H_0nL3vEaZsfeyy6jKvg,https://www.ruthenia.ru/folklore/berezkin/i23.html,
I72,Stars – people.,Tsimshian,54.5,-129,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=c4acbb3808c74750a32203e1,https://www.ruthenia.ru/folklore/berezkin/i72.html,
I82A,Male Venus.,Kekchi; Mopan,16.5,-89.8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4e45c63628c68deddfb3d10d,https://www.ruthenia.ru/folklore/berezkin/i82a.html,
I108,The Pleiades – a single character.,"Pemon: Arekuna (incl. Kamarakoto), Taulipang (Taurepan)",6,-62.3,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e6120413a8abcf2540c519d0,https://www.ruthenia.ru/folklore/berezkin/i108.html,
I117,The spider carries from world to world.,Chilkotin,52,-124,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6cd26dbba8ed484454a354f4,https://www.ruthenia.ru/folklore/berezkin/i117.html,
i136,The demonic wheel.,Ossetians,43,44,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=lsiqIImS6E6o1jFg_0UX_g,https://www.ruthenia.ru/folklore/berezkin/i136.html,
j1a,The myth of the avengers with a full plot,"Yamana (Yaghan), Alacaluf",-55.22621,-68.31934,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=30tpVPusRiy1PBk9OliA,https://www.ruthenia.ru/folklore/berezkin/j1a.html,"Wilbert 1977, n°18 , 48 : 47-50, 147-148."
J4,Revenge for the death of male relatives.,"Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5acfcca229fe486227d49fed,https://www.ruthenia.ru/folklore/berezkin/j4.html,"Rodríguez de Montes 1981, No. 23 : 189-201"
J6,The children of the murdered woman grew up in the house of their antagonists.,"Barasana, Taibano, Macuna",0.2,-70.4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=47e9a6e4522453787e202561,https://www.ruthenia.ru/folklore/berezkin/j6.html,
J15,The road to the home of dangerous creatures.,"Barasana, Taibano, Macuna",0.2,-70.4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f5380594de4ff8bcdf370d89,https://www.ruthenia.ru/folklore/berezkin/j15.html,
J18,A woman falls from the sky.,"Five Nations Iroquois (Seneca, Mohawk, Onondaga, Oneida, Cayuga)",42.7,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6f663e302612b00e6b6b50e5,https://www.ruthenia.ru/folklore/berezkin/j18.html,
J21,Birth from eggs.,"Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6da75a44d5bad6f4e65fbb0d,https://www.ruthenia.ru/folklore/berezkin/j21.html,
J30,Remains of parents.,"Barasana, Taibano, Macuna",0.2,-70.4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7ef9cfe606fb81e5c3811d86,https://www.ruthenia.ru/folklore/berezkin/j30.html,
J32F,Stolen apples.,Ossetians,43,44,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2eaf6c4076a9db6df65a0ee7,https://www.ruthenia.ru/folklore/berezkin/j32f.html,
J37,A bird carries away the antagonist.,"Witoto, Ocaina, Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=a949b3a87ad704142f5cee79,https://www.ruthenia.ru/folklore/berezkin/j37.html,
J37,A bird carries away the antagonist.,"Witoto, Ocaina, Whitoto, Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4d76d4564b1d62d6a0c1a0ce,https://www.ruthenia.ru/folklore/berezkin/j37.html,"Urbina 1991, No. 1 (muinane) : 19-20."
J43,Bait for enemies.,"Barasana, Taibano, Macuna",0.2,-70.4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4176693ced4eca8460bc9a0e,https://www.ruthenia.ru/folklore/berezkin/j43.html,
J44,The collapsed bridge.,Sherente,-10.5,-48,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fee4c4daaf4372b19adf8394,https://www.ruthenia.ru/folklore/berezkin/j44.html,
J46,The enemy drowns.,Plains Ojibwa,49.5,-98,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d95e728d01d60436447c74c7,https://www.ruthenia.ru/folklore/berezkin/j46.html,
J46,The enemy drowns.,Northern Saulteaux,52.5,-95,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8df58abf9a749f88f6a2441e,https://www.ruthenia.ru/folklore/berezkin/j46.html,
J56,The trial of the sons.,"Five Nations Iroquois (Seneca, Mohawk, Onondaga, Oneida, Cayuga)",42.7,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8908db11b29f39a6a297e15e,https://www.ruthenia.ru/folklore/berezkin/j56.html,Hewitt 1903 : 221-238.
j63,"The son saves, the daughter betrays.","Byelarusians, Belarusians",53.29412,28.7666,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Dn3oVA0EmkCm3T5Yom9F_g,https://www.ruthenia.ru/folklore/berezkin/j63.html,"III, 9; in SUS 19790, No. 968A*: 248"
J66,The straps are bitten through.,"Lkungen (Straits; Including Samish, Songish, Sooke, Lummi), Klallam",48,-122,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5b94615648a7251aa8acc4cd,https://www.ruthenia.ru/folklore/berezkin/j66.html,
j69,Murders in jest and in earnest.,"Germans: North (Low- And Central German Dialects): Schleswig-Holstein, Mecklenburg, Pommern, Niedersachsen (Lower Saxony, Incl East Frisia And Oldenburg), Nordrhein-Westfalen, Hessen, Rheinland-Pfalz, Thüringen, Saxony-Anhalt, Sachsen, Brandenburg, Rügen",52.5,11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2qaRWXjTq9kIAsRPxWJVqDtc,https://www.ruthenia.ru/folklore/berezkin/j69.html,"(Westphalia, Paderborn dialect) : Grimm, Grimm 2002, No. 126: 411-414 (=Grimm, Grimm 1987: 324-328);"
K1A,Trap: a young man or man is abandoned.,Karijona,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=c068392bac688a64b0b8f863,https://www.ruthenia.ru/folklore/berezkin/k1a.html,"(cf. Schindler 1977b, No. 5 : 69)"
K1A,Trap: a young man or man is abandoned.,"Kabiyari, Yukuna (Yucuna)",-1,-70,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7nga0zzbcs9cjv4dkl022xpj,https://www.ruthenia.ru/folklore/berezkin/k1a.html,yukuna : Jacopin 1981:69-130
K1A,Trap: a young man or man is abandoned.,Lepcha,27.1,83.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7c1db2e1c3f6da9ca8081ab3,https://www.ruthenia.ru/folklore/berezkin/k1a.html,
K1A,Trap: a young man or man is abandoned.,"Shuar, Achuar (Shiwiar)",-3,-77,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rzixriesvln9pcihdphnv213,https://www.ruthenia.ru/folklore/berezkin/k1a.html,shuar : Barrueco 1988:64-66
K1A,Trap: a young man or man is abandoned.,Blackfoot,51,-112.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=96e7f5dbeb7f071745f89def,https://www.ruthenia.ru/folklore/berezkin/k1a.html,"Wissler, Duvall 1908, No. 17 : 98-99"
K1A,Trap: a young man or man is abandoned.,Chilkotin,52,-124,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=58be10ff4781e24f9cf38168,https://www.ruthenia.ru/folklore/berezkin/k1a.html,
K1H,Walled up in a hollow.,"Kabiyari, Yukuna (Yucuna)",-1,-70,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=882vsrqsy3ztzlwqh4t9s5il,https://www.ruthenia.ru/folklore/berezkin/k1h.html,yukuna : Jacopin 1981:69-79
K2,The discarded ladder.,Lepcha,27.1,83.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ea9d43f5caeb4998be053ece,https://www.ruthenia.ru/folklore/berezkin/k2.html,
K4,Nest destroyer.,"Shuar, Achuar (Shiwiar)",-3,-77,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=g3jpg3typm2mom0h155nthaj,https://www.ruthenia.ru/folklore/berezkin/k4.html,shuar : Barrueco 1988 : 64-66
