Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
Indra - Book: 6 Hymn: 22,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=26hfq7m9a53rbdz3hco1vrgs,N/A,
Indra - Book: 7 Hymn: 98,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ucdvmc4tf9omtfcgpa6rv1lh,N/A,
Indra - Book: 8 Hymn: 14,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=mhtluczkk6wxyimty2bk7ca3,N/A,
Indra - Book: 8 Hymn: 65,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=n8jewlnlna9dsbuk52wjedlp,N/A,
Indra - Book: 10 Hymn: 73,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9fzu12m2thy3jykkh7ukhfcx,N/A,
Indra - Book: 10 Hymn: 99,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7lopkgfqqqzonxol69i2u2ll,N/A,
Indra - Book: 10 Hymn: 111,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=qgf6g4hrd54mnpsrvajph99g,N/A,
Indra-Soma - Book: 7 Hymn: 104,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=pgwy2fhnxbod6onrawtdg7uw,N/A,
Indra-Varuṇa - Book: 7 Hymn: 82,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9mn0uq10z07ma6acl1104m14,N/A,
Indra. Aśvins - Book: 10 Hymn: 24,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fk34i0f3qn737e6ymce8q9ke,N/A,
Indra. Sūrya. Atri - Book: 5 Hymn: 40,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rmk9ax9cb99g5nq2dc1cdq4g,N/A,
j1a,The myth of the avengers with a full plot,"Northern Altai: Chelkan, Kumanda, Tubalar, Altaians",52,86,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=y2P5q185QhAdfNHAy6fg,https://www.ruthenia.ru/folklore/berezkin/j1a.html,: Surazakov 1979: 15-153 (songs 1 and 2)
j1a,The myth of the avengers with a full plot,Eastern Khanty (Ostyaks),61,75,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=FphP7gM3Skq9XGR0THi9sw,https://www.ruthenia.ru/folklore/berezkin/j1a.html,"Eastern (r. Agan) : Chepregi 2015, no. 8: 84-90"
j1a,The myth of the avengers with a full plot,Central Yupik,60,-160,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9ahaTbgTQWmr1pzmpoJaA,https://www.ruthenia.ru/folklore/berezkin/j1a.html,"Central : Fienup-Riordan 1983, no. 13 , 14 : 242-243, 243-245"
j1a,The myth of the avengers with a full plot,Crow,47,-109,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=RiUSFqw2Qv6vMAr8lSEJbg,https://www.ruthenia.ru/folklore/berezkin/j1a.html,: Lowie 1918: 74-85
j1a,The myth of the avengers with a full plot,Pawnee,41,-99,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rt4JXN6HTWyGRkxjBwZcTQ,https://www.ruthenia.ru/folklore/berezkin/j1a.html,"Skidi  : Dorsey 1904b, no. 25: 88-94"
