Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=qetqQkHDdrkoax8lpAB4fZhh,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=LalfrKcKUvtsyAZfyZuUkrXd,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=KsrHU4b9VI8cNB5AWmlns556,N/A,
,N/A,Old And New Testament,31.90504,35.17041,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gJKArmaFwnXO2y57UMfyduEq,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=FUyCIamXAOVWZNS6TV7kpFEZ,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=vcWReUkzse47GtTYtWOQngBc,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=dKhQsbhLbQM54JrBVLicamhe,N/A,
,N/A,Proto-Indo European,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=UIp0gDPjdFoJPEQ7Y5M3WaEa,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=mzIz6VMmq5nhypZRHDZYUaED,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9lk3kcVwkFN2yX1u3RPM7Yu5,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5nRioJv0x8YvwWXXxkp6ZYA8,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9AhF8AZkWkRDxCXIT5HbTbMX,N/A,
,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=FQgIMs203T5gekm0UYAlwuAC,N/A,
,N/A,Pakistan,30.116,69.088,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=EBBcn9fhgi5LooL1h36wTYaJ,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=nozeAJl9uDEk5DgYYwYtPWT6,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cb4QvZXuIErjhQFLydVehVtB,N/A,
,N/A,Persia,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=eCuE40z1WPFufYmInkn1TTgj,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=DIaBvXdFNKNGbkK1sirSMsQs,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ruW5Q6fP4tAdAO69OOXiBwYl,N/A,
,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gY9DVebc1XaWmApJ9j3Jtb3A,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=jnm4oCCb0L2c07pcldkDiGZp,N/A,
,N/A,Austria,47.632,13.798,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TwiOvfe8y1H1Iin1wIak00mU,N/A,
,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=F6cDMzEepENzTD86FOZ4CFoE,N/A,
,N/A,Estonians,58.7,25,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=nSVZXmnxTYCAazF4puZyfcm4,N/A,
,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0OBRjdpewyjljMl3lClaAhJV,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=15vfBEiSWtsUZP5Ey4C1nUH9,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=pwEKIDQ5hv4rG7Z090WITvuO,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=OSkeo4N2PG6w5AdNaVeR0LPC,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rDWa3v9ExARdygyTJhZYoYIA,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Q07f7O8zXBjjCBeDT5MBNP4I,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gyDhbIEw5Wr49CwmnDfFsYsc,N/A,
,N/A,"India. &lt;I&gt;The Panchatantra, Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=OBUxHNOVyc5oq9hCy8Uiz4Fd,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=60MXc3aUcF8DhfTVhNUTAvgt,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=brgfil9UzGtqkmvmzPT62Z4A,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=JYwaayaxmAfV7zNwYdZgmzNg,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=qRY52H51vcEgNzK7n93mCBuG,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2QcqCORWam2kVXjBXoOo49ua,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=IFERcVqdrLVKHogZW4lQwJaY,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=o7Vz82s2AVXqltNAqyAMcNBH,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=pB207VT5Px5PwAJT6runqqqW,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=HNFlkoTYyFgwPKc9l95LiIzG,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fe54CdzVDvgYuZ6KQ3PIY8SX,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=nmQsfsSYAdhihmgdfPknn3gs,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=GnyaLUNDaiGwduFJQtyv5YAN,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ClEFZQ6aG8PtRZaOq4jTNsiH,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=UQZZkAVTvVMuGnHLOQDFGvYl,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=VEp7b9iY2KxLNoM1mL1ECXUW,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=RAu4yf5eiXcxUkh3gySzLG4K,N/A,
,N/A,Celtic,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=h1HHr28nN8nq9qXMYtdbICfF,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9fcGJqwpBBMtq80eLCfamWto,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=S5AkCMZmGkjhbzWRah65qaeT,N/A,
,N/A,Wales,52.70169,-3.87158,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=45NilxtLvuY1Vyi9e6L4cR5Z,N/A,
,N/A,Wales,52.70169,-3.87158,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=vn7tzkPyxTW19WxIBwHyFWoS,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2TgCg9qA2ZtHYLwq4JqHqtKO,N/A,
,N/A,Austria,47.632,13.798,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=tkJ3NUG1gdY4cOR99hZA1Ojc,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=WuGOL2TxWHVJiuv5nxwwdKGz,N/A,
,N/A,France,46.94026,2.9248,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=SiDaOJObTtQ9JyO1He26OKMf,N/A,
