Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
M49,A hero in someone else&#039;s skin,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f4yoarg1ri7mqd87j8c4yz8m,https://www.ruthenia.ru/folklore/berezkin/m49.html,"Bogoras 1928, No. 8 : 330-332"
M49,A hero in someone else&#039;s skin,St Lavrenia,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6b1c8666647f34eb9206a0a4,https://www.ruthenia.ru/folklore/berezkin/m49.html,
M49,A hero in someone else&#039;s skin,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=o4dq6mm24509nyalt7jr6n7p,https://www.ruthenia.ru/folklore/berezkin/m49.html,Dugarov 1990 : 223-244
M49,A hero in someone else&#039;s skin,Kabila,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=c50d583a49c9aa521ef40f8c,https://www.ruthenia.ru/folklore/berezkin/m49.html,
M49,A hero in someone else&#039;s skin,Plains Ojibwa,49.5,-98,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d8fa2a6d970ad4348120005e,https://www.ruthenia.ru/folklore/berezkin/m49.html,
M49,A hero in someone else&#039;s skin,Oroch,48,138,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f1me23gtv484jiisvskz8mkx,https://www.ruthenia.ru/folklore/berezkin/m49.html,"Orochi : Aurorin, Lebedeva 1966, No. 14:142-145"
M49,A hero in someone else&#039;s skin,Upper Coquil,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fd5a9a1adaaef1d571ed83cf,https://www.ruthenia.ru/folklore/berezkin/m49.html,
M49A,A substituted shaman,Plains Ojibwa,49.5,-98,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fe949cee1ea7521c1da59168,https://www.ruthenia.ru/folklore/berezkin/m49a.html,
M49A,A substituted shaman,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3e05ca1cqacw2hify8ivceuo,https://www.ruthenia.ru/folklore/berezkin/m49a.html,"Skinner 1916, No. 1 (1) : 341-346"
M49A,A substituted shaman,Curdalen,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8fc70451fd72e3ac6d4d82a9,https://www.ruthenia.ru/folklore/berezkin/m49a.html,
M49A,A substituted shaman,Coquil,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=895d7c30cef3955ca8d5eb7f,https://www.ruthenia.ru/folklore/berezkin/m49a.html,
M49A,A substituted shaman,Takelma,42.4,-123.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f4b0c72d4f2ec67b0612cdf6,https://www.ruthenia.ru/folklore/berezkin/m49a.html,
M49A,A substituted shaman,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0kzst35b0xdfzkf5mhb4gzqw,https://www.ruthenia.ru/folklore/berezkin/m49a.html,"(cf. Bogoras 1928, No. 8 : 330-332)"
