Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
449,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=12mpsojhcwnrxnb00jyn7c61,N/A,http://www.gutenberg.org/ebooks/10
450,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=z4LgiWkEfpGx6blcRnh37GfG,N/A,xmlfiles/pol/trans-104.xml
450,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=BaRwtWSYkQUgqWc9r72gFnVM,N/A,xmlfiles/pol/trans-1344.xml
450,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=jhI4GWwyQLjmpGgrOVodntWB,N/A,xmlfiles/lang/lang_red-8.xml
450,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=7ibn8f6u35chzg9qnpca1voj,N/A,http://www.gutenberg.org/ebooks/10
451,N/A,Arabs Of Libya,30,17,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=zQDeph3eLzqn6xE9sPgQcU9v,N/A,xmlfiles/lang/lang_grey-16.xml
451,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=vzXOMyTOemrN0sni0yWzN3O5,N/A,xmlfiles/eng/trans-3250.xml
451,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=YbgC2E2KXcNR01krTAoajYmo,N/A,xmlfiles/lang/lang_yellow-3.xml
451,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=u57KceuYR7jQB6LywG9TU15A,N/A,xmlfiles/eng/trans-3417.xml
451,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=9lBTm9KHhPFuUiyKNyGkhPzr,N/A,xmlfiles/eng/trans-468.xml
451,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=gi5s9axd95oq4f9snq7ncsuv,N/A,http://www.gutenberg.org/ebooks/10
451,N/A,Finns,61.41354,23.96777,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=pyP6uSnQiIqNC55o0DLNKKZK,N/A,
451,N/A,"Italy, Giambattista Basile",N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=AynJ3ZmGbj55V3RkvJRh8FvP,N/A,
453,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=w9rl8dwe1x72cjrzqutux6wo,N/A,http://www.gutenberg.org/ebooks/10
454,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=t0ymj1oldarmje4zs4d5otx8,N/A,http://www.gutenberg.org/ebooks/10
455,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=qn60588vdd86k213179bljlp,N/A,http://www.gutenberg.org/ebooks/10
456,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=6k0uj2jq44jjgllv19uru281,N/A,http://www.gutenberg.org/ebooks/10
